use,gen,grid,DHI,DNI,GHI
0.046728415691209294,0.0,0.046554431871720994,0.0,0.0,0.0
0.037939938966538314,0.0,0.03783234369890562,0.0,0.0,0.0
0.04258943006338556,0.0,0.04243833877220293,0.0,0.0,0.0
0.04277028180619244,0.0,0.04260087632753841,0.0,0.0,0.0
0.03549958564195486,0.0,0.03537138701643363,0.0,0.0,0.0
0.0445421705846069,0.0,0.044395657771614264,0.0,0.0,0.0
0.04244749586593864,0.0,0.0423147186248717,0.0,0.0,0.0
0.037413408755171976,0.0,0.03731725975169212,0.0,0.0,0.0
0.034123739278968376,0.0634228633913696,0.034121449971195525,0.0,0.0,0.0
0.009209700976177494,0.16048594288291346,0.009209700976177494,0.0,0.0,0.0
0.0044571930898875435,0.19569133536085373,0.0044571930898875435,0.0,0.0,0.0
0.023503852872634436,0.41816047497328573,0.023503852872634436,0.0,0.0,0.0
0.016489554096795055,0.2752606165668936,0.016489554096795055,0.0,0.0,0.0
0.015649395038910607,0.2193350953295239,0.015649395038910607,0.0,0.0,0.0
0.005656766462968588,0.18333973194017925,0.005656766462968588,0.10412573673870333,0.0,0.050863723608445294
0.0055857992955672675,0.06174325210130407,0.0055857992955672675,0.23575638506876226,0.0,0.11516314779270632
0.03826272490679211,0.022521558016546688,0.03826272490679211,0.4106090373280943,0.06789524733268672,0.2332053742802303
0.0562929523670377,0.0028867165999414326,0.05617391069789644,0.4656188605108055,0.34917555771096026,0.42322456813819576
0.043443324830551425,0.0,0.043335729425563005,0.4479371316306483,0.020368574199806012,0.2312859884836852
0.040842723121049626,0.0,0.04072597075968125,0.3359528487229862,0.0,0.16410748560460653
0.05242181025440926,0.0,0.05222722307703241,0.39096267190569745,0.030067895247332686,0.20537428023032628
0.04058174725446147,0.0,0.04046041641490307,0.03929273084479371,0.0,0.019193857965451054
0.03289211628384595,0.0,0.03284633108987888,0.01768172888015717,0.0,0.008637236084452975
0.03164904702457069,0.0,0.03160097252283076,0.0,0.0,0.0
0.04323042346570316,0.0,0.04311138179656192,0.0,0.0,0.0
0.03591623141527138,0.0,0.03582695019775437,0.0,0.0,0.0
